AGG,SPY
97.2,367.95
95.95,364.31
95.54,363.38
97.08,370.53
96.57,362.79
96.34,357.18
96.91,366.61
97.17,377.97
96.66,377.09
96.28,373.2
95.77,362.79
95.34,360.02
95.4,357.74
95.48,356.56
95.18,365.97
94.66,357.63
94.86,366.82
95.02,371.13
94.2,368.5
93.63,365.41
93.77,374.29
93.64,378.87
94.56,384.92
94.98,382.02
95.46,379.98
95.22,389.02
94.9,386.21
94.86,384.52
94.7,374.87
94.35,371.01
94.34,376.35
94.04,379.95
94.44,382.0
94.55,374.13
96.58,394.69
96.51,398.51
96.24,395.12
96.95,398.49
97.55,395.45
97.14,394.24
97.0,396.03
96.94,394.59
97.44,399.9
98.02,402.42
98.04,402.33
97.88,395.91
97.53,395.23
98.29,407.68
98.88,407.38
99.29,406.91
98.51,399.59
98.8,393.83
99.68,393.16
99.38,396.24
98.79,393.28
98.81,398.95
99.47,401.97
99.69,399.4
99.61,389.63
99.35,383.27
98.74,380.02
98.07,380.54
98.34,386.23
98.31,380.72
97.97,382.91
97.26,381.4
97.09,376.66
97.45,383.44
96.99,382.43
97.56,380.82
98.1,383.76
98.02,379.38
99.09,388.08
99.34,387.86
98.96,390.58
99.57,395.52
100.29,396.96
99.92,398.5
99.74,397.77
100.73,391.49
100.5,388.64
100.09,395.88
99.84,400.63
100.28,400.2
100.4,400.35
100.23,404.75
100.08,405.68
99.81,400.59
100.22,406.48
100.68,410.8
100.79,416.78
99.82,412.35
99.27,409.83
99.1,415.19
99.24,410.65
98.85,407.09
98.42,408.04
98.72,412.83
98.37,412.64
98.18,413.98
97.77,408.28
98.0,407.26
97.08,399.09
97.34,398.54
97.69,400.66
97.13,396.38
97.32,397.73
97.31,396.26
96.52,394.74
96.32,397.81
97.08,404.19
96.84,404.47
96.71,398.27
96.61,398.92
96.96,391.56
98.09,385.91
98.87,385.36
98.29,391.73
99.27,389.28
98.88,396.11
99.5,389.99
99.1,393.74
98.8,398.91
99.75,392.11
99.99,393.17
100.16,395.75
99.08,396.49
98.93,395.6
99.05,401.35
99.16,403.7
99.64,409.39
99.82,410.95
100.19,408.67
100.53,407.6
100.44,409.19
99.75,409.61
99.81,409.72
99.93,408.05
99.89,413.47
99.4,412.46
98.9,413.94
99.04,414.21
98.89,414.14
99.34,411.88
99.17,412.2
99.56,412.63
100.18,406.08
99.81,404.36
99.45,412.41
99.96,415.93
98.69,415.51
99.65,410.84
100.09,408.02
99.97,405.13
99.65,412.63
99.1,412.74
99.01,410.93
99.65,412.85
99.95,412.13
99.39,411.59
99.14,413.01
98.91,410.25
98.76,415.23
98.3,419.23
98.08,418.62
97.99,418.79
98.1,414.09
97.85,411.09
97.49,414.65
97.57,420.02
98.22,420.18
98.57,417.85
98.61,421.82
98.09,427.92
98.08,427.1
98.2,428.03
97.68,426.55
98.2,429.13
97.97,429.9
98.14,433.8
97.68,436.66
97.77,437.18
98.45,442.6
98.14,439.46
98.32,437.18
98.48,434.94
97.97,436.51
98.26,433.21
98.38,431.44
98.19,436.17
98.48,436.39
97.72,438.11
97.95,443.28
97.58,443.79
97.14,443.13
96.51,439.66
96.53,438.55
96.8,439.66
97.01,442.46
97.8,446.02
98.41,449.56
97.94,449.28
98.05,450.84
98.13,454.19
98.43,455.2
97.92,452.18
97.99,452.18
97.81,454.2
97.7,455.44
98.02,455.51
97.18,452.49
97.56,456.92
97.68,457.79
96.77,456.48
96.54,450.13
95.89,448.84
96.68,446.81
96.7,450.71
96.93,448.75
97.0,445.75
96.37,445.91
96.07,445.65
96.0,448.11
95.74,442.89
95.51,439.64
95.41,436.29
95.62,436.5
95.14,439.34
95.24,438.15
96.15,443.03
95.93,436.89
95.87,439.97
96.08,442.76
96.7,449.16
96.66,451.01
96.8,450.35
96.04,451.19
95.52,449.24
95.43,446.22
95.73,444.85
95.78,445.52
95.67,448.45
95.7,445.99
95.84,446.51
95.71,450.36
95.49,443.37
95.63,443.63
95.35,442.71
95.3,438.64
94.65,431.39
95.05,430.42
94.3,432.23
94.18,425.88
93.85,426.05
94.13,428.52
94.04,427.48
93.13,427.31
92.4,421.59
93.05,424.66
93.11,424.5
92.75,429.54
93.71,432.29
93.62,434.54
94.05,436.32
93.24,433.66
93.64,431.5
93.12,436.04
92.45,436.02
92.02,430.21
91.67,426.43
92.0,421.19
92.36,420.46
92.69,423.63
92.0,417.55
92.62,412.55
92.59,410.68
92.37,415.59
92.31,418.2
93.05,422.66
93.61,430.76
94.18,434.69
93.71,435.69
94.21,436.93
94.53,437.25
93.74,433.84
93.96,440.61
93.95,440.19
95.13,448.73
94.54,449.68
95.06,450.23
95.25,450.79
95.4,454.26
95.5,453.27
95.59,455.02
95.15,455.3
95.69,454.48
96.11,454.93
96.58,454.61
96.26,456.4
96.83,459.1
96.46,456.69
97.1,456.6
97.35,454.76
97.38,458.23
96.89,460.2
96.9,461.99
97.19,464.1
98.41,470.5
98.92,472.01
98.69,469.33
98.49,471.97
98.61,474.84
98.97,468.26
98.96,472.7
98.83,473.65
99.03,475.65
99.66,476.51
99.44,476.69
99.25,475.31
98.78,472.65
98.83,468.79
98.43,467.28
98.2,467.92
98.57,474.6
98.55,473.88
98.36,476.56
98.92,476.35
99.1,476.68
98.36,474.93
98.09,472.29
98.0,476.49
98.02,482.43
98.2,483.45
97.96,484.86
97.74,485.39
98.18,488.03
98.07,487.41
98.46,491.27
98.65,490.89
99.1,482.88
99.37,489.2
98.46,494.35
97.65,492.55
98.16,493.98
97.96,498.1
97.66,498.32
97.63,501.2
97.65,500.98
96.75,494.08
97.18,498.57
97.41,502.01
97.1,499.51
97.19,496.76
96.9,497.21
96.98,507.5
97.34,507.85
